Time (s),Speed (km/h),Acceleration (m/s²),Power Demand (kW),Engine Power (kW),Battery Power (kW),Fuel Consumption (L/100km),SOC (%),Battery Degradation (%),Regenerative Braking Power (kW),Total Energy Used (kWh),Driving Cycle Type,Target Efficiency
21,46.61335549,-0.3675584,56.04097426,34.54256307,21.4984112,4.035127353,99.47588814,0.052411186,2.481080857,58.52205512,WLTC,High Efficiency
22,51.01292307,-0.09296224,63.61006705,32.65799555,30.9520715,3.850879316,99.44493607,0.055506393,3.086524767,66.69659182,WLTC,High Efficiency
23,28.62877721,-0.799697381,50.6479135,21.43554823,29.21236527,4.086295867,99.4157237,0.05842763,8.453361851,59.10127535,WLTC,High Efficiency
24,41.83425913,1.138543249,57.65437494,23.27100114,34.3833738,2.898118979,99.38134033,0.061865967,0,57.65437494,Urban,High Efficiency
25,51.66383885,-0.617255999,64.77720295,31.51068154,33.26652141,2.614354612,99.34807381,0.065192619,8.276651671,73.05385462,Highway,High Efficiency
26,32.73509634,-0.515983142,52.45498682,21.127121,31.32786582,5.445750721,99.31674594,0.068325406,3.744760035,56.19974685,Highway,Low Efficiency
27,55.63547028,-0.220129602,47.44812828,22.25420589,25.1939224,6.407893705,99.29155202,0.070844798,3.983699808,51.43182809,HWFET,Low Efficiency
28,40.99041965,0.644037862,32.95378042,17.32875275,15.62502767,6.30656794,99.27592699,0.072407301,0,32.95378042,WLTC,Low Efficiency
29,45.62459375,0.0072545,49.16866474,21.45842121,27.71024353,1.42701309,99.24821675,0.075178325,0,49.16866474,Highway,High Efficiency
30,40.97440082,-0.618067898,58.23423185,25.11545328,33.11877857,4.632402369,99.21509797,0.078490203,8.96783694,67.20206879,Highway,Low Efficiency
31,77.78417277,0.62716918,59.45633428,39.77219886,19.68413541,3.346862067,99.19541383,0.080458617,0,59.45633428,WLTC,High Efficiency
32,49.79754163,0.365500313,55.04365066,31.68538259,23.35826807,5.215606157,99.17205557,0.082794443,0,55.04365066,WLTC,Low Efficiency
33,34.13433607,0.269217479,44.58700905,30.33417887,14.25283018,4.373264722,99.15780274,0.084219726,0,44.58700905,Highway,High Efficiency
34,62.33817368,0.357867121,30.23178431,15.22919632,15.00258799,5.887867859,99.14280015,0.085719985,0,30.23178431,HWFET,Low Efficiency
35,31.68734525,1.19718095,45.04784902,27.17031648,17.87753254,4.971270364,99.12492262,0.087507738,0,45.04784902,WLTC,Low Efficiency
36,53.13295393,1.092547448,46.95655129,21.66610505,25.29044624,2.155997158,99.09963217,0.090036783,0,46.95655129,Highway,High Efficiency
37,20.60494814,-0.343357672,46.87071033,27.4428991,19.42781123,3.549371191,99.08020436,0.091979564,1.773667709,48.64437804,HWFET,High Efficiency
38,30.07720927,0.811942496,56.18556357,24.65847961,31.52708396,5.008677672,99.04867727,0.095132273,0,56.18556357,Urban,Low Efficiency
39,52.95291854,0.191584095,69.85676411,27.98630966,41.87045445,5.135165644,99.00680682,0.099319318,0,69.85676411,HWFET,Low Efficiency
40,61.0769987,0.249547908,51.23529202,34.81230797,16.42298405,2.891484788,98.99038384,0.100961616,0,51.23529202,WLTC,High Efficiency
41,52.57052422,-0.846135416,47.83268211,27.09569873,20.73698338,2.695310445,98.96964685,0.103035315,3.726515494,51.5591976,Urban,High Efficiency
42,48.26527576,-0.085192883,47.40778187,32.14637297,15.2614089,5.084368006,98.95438544,0.104561456,3.581682083,50.98946395,HWFET,Low Efficiency
43,45.48344457,-0.406411795,51.24384767,25.62958259,25.61426508,2.894499041,98.92877118,0.107122882,9.988163453,61.23201112,Highway,High Efficiency
44,27.82217014,0.414029407,41.7170624,20.78910653,20.92795587,2.49705586,98.90784322,0.109215678,0,41.7170624,WLTC,High Efficiency
45,39.20233687,0.53554025,51.20198559,26.63509372,24.56689186,4.332289231,98.88327633,0.111672367,0,51.20198559,Urban,High Efficiency
46,43.09041844,-1.037243176,54.50812336,33.34874006,21.1593833,4.267330863,98.86211695,0.113788305,6.232136782,60.74026015,Highway,High Efficiency
47,65.85683339,-0.011017432,52.09686064,29.68180032,22.41506031,3.682399284,98.83970189,0.116029811,8.01879952,60.11566016,Urban,High Efficiency
48,55.15427434,0.560930752,54.57541934,36.98065736,17.59476198,3.944394565,98.82210712,0.117789288,0,54.57541934,HWFET,High Efficiency
49,23.55439767,-0.093339481,54.33747609,22.14970874,32.18776735,5.020753585,98.78991936,0.121008064,6.188922311,60.5263984,Highway,Low Efficiency
50,54.86125954,0.364531823,32.28103318,19.77080224,12.51023094,3.919755644,98.77740913,0.122259087,0,32.28103318,WLTC,High Efficiency
51,44.22376579,0.175582734,56.36870158,28.13352352,28.23517807,5.106045532,98.74917395,0.125082605,0,56.36870158,Highway,Low Efficiency
52,39.84617,0.170830116,43.28985154,19.65662703,23.63322452,4.429297196,98.72554072,0.127445928,0,43.28985154,HWFET,High Efficiency
53,59.17514433,-0.135657489,39.04160837,21.59464315,17.44696522,5.251475233,98.70809376,0.129190624,3.066416977,42.10802535,Urban,Low Efficiency
54,65.46499284,-0.608290402,38.95548172,21.48469359,17.47078813,6.317308348,98.69062297,0.130937703,4.67095964,43.62644136,Highway,Low Efficiency
55,63.96920179,-0.560765074,54.3354161,23.96753182,30.36788429,6.258871768,98.66025509,0.133974491,9.271074607,63.60649071,Urban,Low Efficiency
56,37.41173715,0.354676257,47.77425073,22.00333013,25.77092059,6.932315707,98.63448417,0.136551583,0,47.77425073,WLTC,Low Efficiency
57,45.36181436,0.009729128,33.18031216,17.33503416,15.845278,6.257220345,98.61863889,0.138136111,0,33.18031216,Highway,Low Efficiency
58,54.96895147,-0.069256122,54.78037815,28.63060439,26.14977376,5.357836297,98.59248911,0.140751089,6.599710046,61.3800882,Urban,Low Efficiency
59,64.63317691,-0.211945021,35.60391869,17.63346173,17.97045696,4.349852544,98.57451866,0.142548134,0.071077471,35.67499616,WLTC,High Efficiency
60,42.81238643,-0.152594423,51.39821359,22.84977206,28.54844152,4.418358616,98.54597022,0.145402978,2.655851973,54.05406556,HWFET,High Efficiency
61,47.21511535,0.523455897,52.38498926,21.02273024,31.36225901,3.68333404,98.51460796,0.148539204,0,52.38498926,Highway,High Efficiency
62,33.40497539,-0.167622041,58.85577082,40.67348807,18.18228275,5.006793937,98.49642567,0.150357433,6.43445521,65.29022603,Highway,Low Efficiency
63,32.05690064,-0.670532357,67.81684786,46.32228226,21.4945656,6.046081218,98.47493111,0.152506889,9.816472366,77.63332023,Highway,Low Efficiency
64,62.18788734,0.371825888,36.35323674,19.81597172,16.53726502,3.911498596,98.45839384,0.154160616,0,36.35323674,Urban,High Efficiency
65,70.34360043,-0.102438332,49.47526144,34.55923827,14.91602317,4.944173212,98.44347782,0.155652218,2.967478331,52.44273977,Urban,Low Efficiency
66,48.91984818,0.015697933,47.23664705,28.44101038,18.79563667,3.983956657,98.42468218,0.157531782,0,47.23664705,WLTC,High Efficiency
67,65.05299347,0.803789153,54.33749686,22.85746261,31.48003425,5.314031495,98.39320215,0.160679785,0,54.33749686,Highway,Low Efficiency
68,55.42454038,-0.010280279,52.15668771,22.70461249,29.45207522,4.175924924,98.36375007,0.163624993,2.519915301,54.67660301,WLTC,High Efficiency
69,40.32320368,0.144591837,46.47453757,31.36256338,15.11197419,3.890734143,98.3486381,0.16513619,0,46.47453757,Highway,High Efficiency
70,55.42093408,-0.589461746,45.59097811,26.85380009,18.73717802,3.980049958,98.32990092,0.167009908,6.422981234,52.01395935,HWFET,High Efficiency
71,73.0705485,-0.109834726,38.83549145,25.35783174,13.47765971,5.754993161,98.31642326,0.168357674,3.112569229,41.94806068,Highway,Low Efficiency
72,49.46260941,0.304763023,59.87861582,40.08758931,19.79102652,4.854875892,98.29663224,0.170336776,0,59.87861582,WLTC,Low Efficiency
73,73.46965484,-0.777686867,54.59204182,29.17303743,25.41900439,4.357367405,98.27121323,0.172878677,7.085325269,61.67736708,Urban,High Efficiency
74,10.70382344,0.100422547,59.17768198,24.53256879,34.64511319,5.392106754,98.23656812,0.176343188,0,59.17768198,HWFET,Low Efficiency
75,62.32853757,0.050395536,46.89603864,21.40729621,25.48874243,4.378225674,98.21107938,0.178892062,0,46.89603864,HWFET,High Efficiency
76,51.30570602,0.020643728,43.43164531,18.24005689,25.19158843,6.689776841,98.18588779,0.181411221,0,43.43164531,Highway,Low Efficiency
77,45.51488974,0.518579449,39.21684933,17.90727436,21.30957497,3.539200769,98.16457821,0.183542179,0,39.21684933,HWFET,High Efficiency
78,51.37641165,0.167219257,53.58917584,28.03570669,25.55346915,4.719542731,98.13902474,0.186097526,0,53.58917584,WLTC,Low Efficiency
79,20.18646628,0.739035949,39.60206775,17.24507853,22.35698922,2.892852167,98.11666775,0.188333225,0,39.60206775,WLTC,High Efficiency
80,46.70492168,-0.496794758,68.48663069,30.82035179,37.6662789,4.479688412,98.07900147,0.192099853,5.105753416,73.59238411,Highway,High Efficiency
81,55.35668857,0.067962284,36.92357419,19.70782977,17.21574442,2.480546753,98.06178573,0.193821427,0,36.92357419,Urban,High Efficiency
82,72.16841067,0.042233393,52.73660119,26.4764784,26.26012279,6.119474784,98.03552561,0.196447439,0,52.73660119,HWFET,Low Efficiency
83,42.22594673,-0.534627247,65.66854707,35.48054769,30.18799938,6.149755651,98.00533761,0.199466239,5.221292936,70.88984001,HWFET,Low Efficiency
84,37.87259596,0.478147501,55.99089759,29.60527715,26.38562044,6.176255261,97.97895199,0.202104801,0,55.99089759,Highway,Low Efficiency
85,42.47364435,1.162336653,51.75673712,30.70951878,21.04721834,5.04330872,97.95790477,0.204209523,0,51.75673712,HWFET,Low Efficiency
86,63.73103177,-0.008503037,40.31516353,27.46095039,12.85421314,3.680194393,97.94505056,0.205494944,2.244948722,42.56011225,Urban,High Efficiency
87,54.93126664,0.252510544,36.18230811,15.64375746,20.53855065,3.799489052,97.92451201,0.207548799,0,36.18230811,Highway,High Efficiency
88,42.05359694,0.042259238,57.70050109,24.79840854,32.90209255,7.295258083,97.89160991,0.210839009,0,57.70050109,WLTC,Low Efficiency
89,57.6990115,-0.356792335,65.06147241,42.67003534,22.39143706,7.153515656,97.86921848,0.213078152,6.765919895,71.8273923,HWFET,Low Efficiency
90,51.45616324,-0.910380139,45.6115001,25.17385404,20.43764605,5.183832735,97.84878083,0.215121917,4.818281098,50.42978119,Highway,Low Efficiency
91,64.52967486,-0.352886742,38.60938492,24.32088194,14.28850299,4.226548949,97.83449233,0.216550767,9.916806511,48.52619144,WLTC,High Efficiency
92,39.46920359,-0.69597919,25.41830569,11.81002022,13.60828548,7.052935134,97.82088404,0.217911596,4.048131591,29.46643729,WLTC,Low Efficiency
93,45.0850678,0.852051039,40.19235156,26.07112141,14.12123016,3.958245258,97.80676281,0.219323719,0,40.19235156,WLTC,High Efficiency
94,44.1183777,-0.057554847,48.86343158,33.08806752,15.77536405,5.343273812,97.79098745,0.220901255,8.215042154,57.07847373,Highway,Low Efficiency
95,28.04727578,-0.172959665,65.99123241,38.97738517,27.01384723,7.027935958,97.7639736,0.22360264,2.122012189,68.1132446,Highway,Low Efficiency
96,54.44180416,0.444576912,56.73133692,24.4945323,32.23680462,3.745492251,97.7317368,0.22682632,0,56.73133692,WLTC,High Efficiency
97,53.91582908,-0.560875551,53.05085405,35.46918797,17.58166607,6.243835378,97.71415513,0.228584487,1.789762827,54.84061687,WLTC,Low Efficiency
98,50.07670185,-0.383432019,45.99880339,29.3355675,16.66323588,5.780841194,97.69749189,0.230250811,0.168773909,46.1675773,Highway,Low Efficiency
99,46.481193,0.034036135,44.16834283,27.61684525,16.55149758,4.940725187,97.6809404,0.23190596,0,44.16834283,Highway,Low Efficiency
100,28.76943887,0.514384496,64.05647598,26.3283939,37.72808208,3.509849601,97.64321231,0.235678769,0,64.05647598,Urban,High Efficiency
101,43.69032016,0.250842523,52.00738541,33.26853976,18.73884565,3.91334036,97.62447347,0.237552653,0,52.00738541,WLTC,High Efficiency
102,44.85928225,0.124162571,28.97399308,12.78869472,16.18529836,5.434176609,97.60828817,0.239171183,0,28.97399308,HWFET,Low Efficiency
103,37.96584096,0.039058868,43.26460352,20.19227633,23.07232719,2.864994808,97.58521584,0.241478416,0,43.26460352,HWFET,High Efficiency
104,47.58071433,0.200117928,41.41783968,23.73823929,17.67960039,5.196115789,97.56753624,0.243246376,0,41.41783968,Highway,Low Efficiency
105,56.06076285,0.100826453,44.53735991,21.35540718,23.18195273,5.811576476,97.54435429,0.245564571,0,44.53735991,HWFET,Low Efficiency
106,78.29278852,-0.514986137,55.6291066,33.2887056,22.340401,6.477830259,97.52201389,0.247798611,8.411552365,64.04065897,Highway,Low Efficiency
107,52.61866719,0.023039611,48.92555118,28.49527502,20.43027617,2.902464388,97.50158361,0.249841639,0,48.92555118,Urban,High Efficiency
108,53.86325586,-0.536844329,49.23134593,21.28984345,27.94150248,6.974370946,97.47364211,0.252635789,8.675496607,57.90684254,Highway,Low Efficiency
109,48.88331126,0.040541271,63.13473161,37.67908397,25.45564764,7.543045241,97.44818646,0.255181354,0,63.13473161,WLTC,Low Efficiency
110,21.21843177,-0.240323971,43.0353891,29.14298336,13.89240574,5.615227352,97.43429406,0.256570594,4.705971169,47.74136027,Highway,Low Efficiency
111,49.60229187,1.269690811,68.64199526,30.77446971,37.86752555,3.442927128,97.39642653,0.260357347,0,68.64199526,HWFET,High Efficiency
112,50.90345315,-0.019947192,43.28692409,25.06826315,18.21866094,4.507836067,97.37820787,0.262179213,2.138184114,45.4251082,HWFET,Low Efficiency
113,86.94863169,-0.702119783,50.89198197,25.57625469,25.31572728,4.928604132,97.35289214,0.264710786,7.894973768,58.78695573,HWFET,Low Efficiency
114,47.11458553,-0.067090105,47.18796405,25.38162733,21.80633671,5.405695263,97.33108581,0.266891419,4.294658266,51.48262231,WLTC,Low Efficiency
115,54.52321014,0.259679373,51.23419134,24.90494316,26.32924817,5.032972329,97.30475656,0.269524344,0,51.23419134,Highway,Low Efficiency
116,49.47932345,0.836681973,54.44591995,27.56265846,26.88326149,5.421747714,97.2778733,0.27221267,0,54.44591995,Highway,Low Efficiency
117,32.46982944,-0.2947262,54.3383524,22.20664721,32.13170519,4.863879864,97.24574159,0.275425841,1.649067438,55.98741984,HWFET,Low Efficiency
118,67.14234222,-0.791213987,42.46882669,29.49313587,12.97569082,5.397660642,97.2327659,0.27672341,8.905727342,51.37455404,WLTC,Low Efficiency
119,61.27899549,0.408418506,38.77085323,22.77554911,15.99530411,4.309214868,97.2167706,0.27832294,0,38.77085323,HWFET,High Efficiency
120,61.86547921,-0.690299353,75.03171791,41.28332735,33.74839056,4.492719925,97.18302221,0.281697779,3.569737992,78.6014559,HWFET,High Efficiency
121,36.35918818,-0.218077721,45.1601566,23.26265622,21.89750038,4.135962244,97.16112471,0.283887529,2.921438522,48.08159513,WLTC,High Efficiency
122,71.04191466,-0.128810243,56.99212439,32.01888034,24.97324405,7.875889302,97.13615146,0.286384854,2.187709726,59.17983411,HWFET,Low Efficiency
123,28.97223406,-0.034816727,33.92358689,17.43780242,16.48578447,7.195851179,97.11966568,0.288033432,8.238164772,42.16175167,Urban,Low Efficiency
124,58.80285641,0.344582229,47.2038728,23.97826353,23.22560927,5.832941285,97.09644007,0.290355993,0,47.2038728,WLTC,Low Efficiency
125,82.85683439,-0.341817141,48.72800616,26.27335945,22.45464671,6.987963496,97.07398542,0.292601458,9.240901299,57.96890746,HWFET,Low Efficiency
126,35.14195512,-0.136864626,54.7281507,26.4224726,28.3056781,6.197692008,97.04567974,0.295432026,6.67350379,61.40165449,Highway,Low Efficiency
127,41.50553406,-0.007135176,22.77545859,10.34039915,12.43505944,5.271906739,97.03324468,0.296675532,8.971277917,31.74673651,Urban,Low Efficiency
128,51.49477048,0.074798979,51.66140613,29.29107546,22.37033067,2.741642988,97.01087435,0.298912565,0,51.66140613,Highway,High Efficiency
129,42.44786519,0.048913587,38.50258545,25.13562864,13.3669568,4.60675412,96.9975074,0.30024926,0,38.50258545,Highway,Low Efficiency
130,26.74004853,0.218002888,53.24345711,23.738513,29.50494411,4.497443162,96.96800245,0.303199755,0,53.24345711,Urban,High Efficiency
131,51.02844462,0.421919755,39.63670803,16.24392766,23.39278037,3.30038724,96.94460967,0.305539033,0,39.63670803,WLTC,High Efficiency
132,34.06544429,0.196317058,41.44517304,19.64681586,21.79835718,2.770756588,96.92281131,0.307718869,0,41.44517304,HWFET,High Efficiency
133,57.10388646,0.226792762,47.2637239,32.79706335,14.46666054,5.73907902,96.90834465,0.309165535,0,47.2637239,Highway,Low Efficiency
134,36.20863649,-0.791111583,39.4767053,25.6056736,13.87103171,5.486756484,96.89447362,0.310552638,6.325076493,45.8017818,Highway,Low Efficiency
135,73.24901608,0.02511385,45.24465553,26.18578851,19.05886702,3.24890453,96.87541475,0.312458525,0,45.24465553,Highway,High Efficiency
136,38.25120061,0.239753774,38.06624231,25.83840124,12.22784108,3.88118224,96.86318691,0.313681309,0,38.06624231,WLTC,High Efficiency
137,45.16907726,0.364470597,31.66829548,16.89768739,14.7706081,6.74183341,96.84841631,0.315158369,0,31.66829548,Highway,Low Efficiency
138,62.20275826,-0.346175387,60.17957052,41.82384952,18.355721,3.68345523,96.83006058,0.316993942,0.077542782,60.25711331,Highway,High Efficiency
139,31.53703525,-0.329519637,37.03951307,18.10827027,18.9312428,5.256198356,96.81112934,0.318887066,1.044112148,38.08362522,Highway,Low Efficiency
140,53.41189902,-0.287050338,48.21319112,22.76104856,25.45214257,4.715332551,96.7856772,0.32143228,8.579425318,56.79261644,Urban,Low Efficiency
141,69.60714131,0.26820695,57.52891081,34.02342974,23.50548107,5.759545207,96.76217172,0.323782828,0,57.52891081,Urban,Low Efficiency
142,25.88775148,0.516940527,43.85055897,22.51490245,21.33565652,3.715838521,96.74083606,0.325916394,0,43.85055897,Highway,High Efficiency
143,52.76950788,-0.203730054,41.748341,24.54425307,17.20408793,5.135125216,96.72363197,0.327636803,2.305466802,44.0538078,WLTC,Low Efficiency
144,53.89824191,0.453981157,52.26238089,25.68688994,26.57549095,5.253083866,96.69705648,0.330294352,0,52.26238089,WLTC,Low Efficiency
145,61.72734308,0.061739905,61.17933823,35.8128843,25.36645393,5.345271209,96.67169003,0.332830997,0,61.17933823,HWFET,Low Efficiency
146,31.44573934,-0.062142889,38.30684735,18.49162991,19.81521744,5.118610787,96.65187481,0.334812519,2.894175234,41.20102258,Urban,Low Efficiency
147,30.1931508,-0.105692115,48.49852168,20.14102967,28.35749201,5.516913981,96.62351732,0.337648268,2.076113656,50.57463534,WLTC,Low Efficiency
148,57.82912348,0.373305682,32.67505405,22.01124859,10.66380546,8.287655498,96.61285351,0.338714649,0,32.67505405,Highway,Low Efficiency
149,54.4547701,0.162788908,46.06798996,30.6334425,15.43454747,8.841946665,96.59741897,0.340258103,0,46.06798996,Urban,Low Efficiency
150,53.75739276,1.137912714,50.34204685,34.79840851,15.54363833,4.041175789,96.58187533,0.341812467,0,50.34204685,WLTC,High Efficiency
151,55.19672314,-0.426112321,41.45375358,25.49232373,15.96142985,1.522635529,96.5659139,0.34340861,1.331804627,42.78555821,HWFET,High Efficiency
152,39.79962918,0.259050851,45.43008166,27.47685632,17.95322534,5.893242951,96.54796067,0.345203933,0,45.43008166,Highway,Low Efficiency
153,53.48380546,-0.264600505,35.91773232,20.39052972,15.5272026,5.27937869,96.53243347,0.346756653,8.044414517,43.96214683,Urban,Low Efficiency
154,54.3960871,-0.434643493,50.77078611,22.22657309,28.54421302,6.591562789,96.50388926,0.349611074,7.911886688,58.6826728,HWFET,Low Efficiency
155,39.28472873,-0.005433569,60.55694249,27.66063055,32.89631194,5.42732885,96.47099295,0.352900705,7.196831531,67.75377402,HWFET,Low Efficiency
156,77.98661767,0.06867624,39.0285613,19.00070017,20.02786113,5.087905909,96.45096508,0.354903492,0,39.0285613,Urban,Low Efficiency
157,57.10749381,1.459086778,43.77328233,29.19883267,14.57444967,6.693359894,96.43639063,0.356360937,0,43.77328233,WLTC,Low Efficiency
158,32.13044754,-0.092072908,55.02546246,24.86550341,30.15995905,6.903170883,96.40623068,0.359376932,1.072909465,56.09837193,Highway,Low Efficiency
159,59.84830413,-0.565089365,62.12090719,42.04727852,20.07362867,2.920159912,96.38615705,0.361384295,6.153629701,68.27453689,HWFET,High Efficiency
160,35.37977495,0.136505359,35.06810188,19.52717176,15.54093012,3.775090719,96.37061612,0.362938388,0,35.06810188,HWFET,High Efficiency
161,61.80626906,-1.037320019,48.31215263,29.69607388,18.61607874,4.841610561,96.35200004,0.364799996,5.820435785,54.13258841,Urban,Low Efficiency
162,67.37893369,-0.045978391,52.83130822,22.87983143,29.9514768,5.147656436,96.32204856,0.367795144,9.629974875,62.4612831,Urban,Low Efficiency
163,37.68976522,0.008012641,48.97943609,23.54490789,25.4345282,4.661025195,96.29661403,0.370338597,0,48.97943609,Urban,Low Efficiency
164,64.45064194,0.397300191,25.23207933,17.348457,7.88362233,5.651310767,96.28873041,0.371126959,0,25.23207933,HWFET,Low Efficiency
165,56.1917139,0.486811125,55.01090009,26.39670448,28.61419561,6.494157184,96.26011621,0.373988379,0,55.01090009,WLTC,Low Efficiency
166,62.3309024,-0.251784809,65.19336351,31.8767199,33.31664361,7.584064566,96.22679957,0.377320043,1.077422387,66.2707859,WLTC,Low Efficiency
167,78.45189474,-0.075307007,51.16661751,23.49976395,27.66685356,5.868369536,96.19913272,0.380086728,7.848376326,59.01499384,Highway,Low Efficiency
168,46.31917826,-0.383060415,39.68893947,17.41241485,22.27652461,3.721499482,96.17685619,0.382314381,1.982379256,41.67131872,Urban,High Efficiency
169,38.69395753,-0.564031277,44.86872754,21.08728308,23.78144445,4.778935662,96.15307475,0.384692525,0.288351761,45.1570793,Highway,Low Efficiency
170,36.65728356,0.15494739,67.69913068,40.12514393,27.57398675,4.886971638,96.12550076,0.387449924,0,67.69913068,HWFET,Low Efficiency
171,37.76284573,-0.636792774,59.09962541,31.71346891,27.3861565,5.77196036,96.09811461,0.390188539,8.908053737,68.00767915,HWFET,Low Efficiency
172,48.84347436,-0.20731345,56.40026618,31.92969944,24.47056674,5.58225205,96.07364404,0.392635596,2.184838272,58.58510446,HWFET,Low Efficiency
173,55.11727962,-0.49758698,53.56412584,23.39195986,30.17216598,8.075594977,96.04347187,0.395652813,7.802062581,61.36618842,Highway,Low Efficiency
174,54.15036199,0.274841593,43.38862888,27.7962714,15.59235747,4.307730297,96.02787952,0.397212048,0,43.38862888,Urban,High Efficiency
175,62.40774874,0.90071505,47.99428819,30.48733539,17.50695281,5.577125801,96.01037256,0.398962744,0,47.99428819,Highway,Low Efficiency
176,50.19502838,-0.650793991,49.22077264,20.00711069,29.21366195,8.532067097,95.9811589,0.40188411,6.236669083,55.45744173,Highway,Low Efficiency
177,71.80301116,-0.926509241,55.49574316,28.58333382,26.91240934,4.122189655,95.95424649,0.404575351,7.631789962,63.12753312,HWFET,High Efficiency
178,46.0301475,-0.062443443,65.08918894,27.37854239,37.71064655,5.217723044,95.91653584,0.408346416,0.103991888,65.19318083,HWFET,Low Efficiency
179,90.8025375,0.007848898,61.18338137,39.01246554,22.17091583,3.582679248,95.89436493,0.410563507,0,61.18338137,WLTC,High Efficiency
180,59.38501022,0.109329653,35.80615644,22.24210066,13.56405578,5.123130349,95.88080087,0.411919913,0,35.80615644,Urban,Low Efficiency
181,37.14263665,-0.223160258,52.23994969,35.03192368,17.20802601,3.829674278,95.86359285,0.413640715,9.987804057,62.22775375,Urban,High Efficiency
182,33.93661253,-0.100319649,57.36763345,27.01563408,30.35199937,6.570201355,95.83324085,0.416675915,6.709822324,64.07745578,Urban,Low Efficiency
183,57.23708623,0.183755205,56.1886033,30.16702983,26.02157347,5.220978289,95.80721927,0.419278073,0,56.1886033,Highway,Low Efficiency
184,46.64805822,0.520215446,43.70766237,19.9021251,23.80553727,3.59690411,95.78341374,0.421658626,0,43.70766237,HWFET,High Efficiency
185,60.71000741,-0.977524385,79.14109216,40.47041831,38.67067385,6.260851547,95.74474306,0.425525694,5.986702575,85.12779473,HWFET,Low Efficiency
186,57.09856437,-0.18446972,37.22915438,20.72446414,16.50469024,5.269499058,95.72823837,0.427176163,6.417014709,43.64616909,WLTC,Low Efficiency
187,48.90756631,0.106904397,39.16811553,16.29390617,22.87420936,6.429228166,95.70536416,0.429463584,0,39.16811553,Highway,Low Efficiency
188,37.29809423,-0.458988052,52.33595081,32.15840712,20.17754369,3.278506058,95.68518662,0.431481338,2.885768529,55.22171934,Urban,High Efficiency
